prompt,generated_text,num_tokens,generation_time,total_empirical_entropy,prc_watermark_detected,log_diversity,perplexity,undetectable_watermark_detected,substring_complete_watermark_detected,Prompt #,Prompt Preview,Tokens,Gen Time (s),Perplexity,Log Diversity,Avg Shannon (bits),Avg Empirical (bits)
"The sport of Bocce Ball is alive and well in Holliston.
""Throwing balls toward a target is the oldest game known to mankind",","" said Peter H. Schar, executive director of the Bocce Federation of America. The Bocce Federation is the national governing body for Bocce. The sport was brought to America by Italian immigrants in the late 19th century. A similar game was brought to the United States by the British in the 17th century. The earliest known games of Bocce were played in the United States as early as the early 1800s. The first Bocce Ball Club in North America was founded in Montreal in 1867.
The National Bocce Championship is played in Florida and has been held there each year since 1964. This year's tournament is scheduled to be held June 29 through July 1 at the University of West Florida.",150,34.08,213.95556354522705,False,0.8889785495866781,5.205657005310059,False,False,11,The sport of Bocce Ball is alive and well in ...,150,34.08,5.21,0.889,0.0,0.0
"A month ago, India had commissioned world’s first 100 percent solar-powered airport in Cochin. Recently, India’s greenest"," city, Thiruvananthapuram, achieved its goal of cutting dependency on power from thermal power plants by 45 percent in the last seven years.
However, a major question remained unanswered: Why were solar panels and windmills not installed in most Indian homes? As of now, only one or two percent of our country’s population resides in households that are powered by solar energy, which can be attributed to a lack of access to solar panels. This brings us to our first template.

Person A: Did you hear about the solar-powered airport in Cochin?
Person B: Yes, I did. It's amazing how they managed to power the entire airport using solar energy.
Person C: I think",150,34.07,206.22020085714757,False,0.9307081478483836,5.913492202758789,False,False,12,"A month ago, India had commissioned world’s f...",150,34.07,5.91,0.9307,0.0,0.0
"Stately palm trees reach to the blue sky.
The city of Split, and majestic mountains, far off in the distance.
Looking up from"," the city to the sky.
Cultures throughout the Mediterranean.
The water in the city is so clear.
With its green valleys and the sparkling water of the Adriatic Sea.
The beautiful Mediterranean coastline.
Dotted with the green mountains of Dalmatia.
A great mountain near the town of Trogir.
Stands tall above the city of Split.
The town of Trogir.
The small town of Paljatica on a hilltop.
The great mountain of the Plitvice Lakes National Park.
The famous town of Trogir.
The mountain on the outskirts of Split.
A great mountain in Dalmatia.
A beautiful mountain overlooking Split.
Mount Ris",150,33.96,276.28195096738636,False,0.8450238854115095,8.803393363952637,False,False,13,"Stately palm trees reach to the blue sky.
The...",150,33.96,8.8,0.845,0.0,0.0
"Showcasing Mosaic hops and a delicate blend of malts, this Extra Special Bitter was brewed with the very finest ingredients available. Naughty",", naughty!

To brew this delicious beer, you will need 500g of barley, 300g of light-colored malt extract, and 300ml of fresh hops. Let's get started!

Brewing the beer:
1. Heat up water to a temperature of 80C (176F). This will be used to create a solution that will help your ingredients mix together.
2. In a big pot, mix the barley with the heated water and let it sit for 45 minutes.
3. Now, add the malted barley extract and let it simmer for an hour.
4. After an hour, add in the hops and let it boil for 20-40 minutes.
5. Once the boiling is done",150,34.51,180.53420085832477,False,0.8980517252237721,4.449958324432373,False,False,14,Showcasing Mosaic hops and a delicate blend o...,150,34.51,4.45,0.8981,0.0,0.0
"Refind is featured in Swedish business weekly ""Veckans Affärer""
The future is finally here. That's what an article in Ve","ckans Affärer (in English: ""The Financial Times of Sweden"") proclaims on the cover and also, in a new section, titled:
""The Future is in Your Head"". The new section will present technology news that matters from a societal perspective.
Forskning is also featured in Swedish business weekly ""Industra""
Articles about the future of work with research-based solutions to the challenges of digitalisation are being published in Industra. In one article, researcher Ingrid Högbo and professor Lars Henrik Wennberg introduce the term ""Refind"" and use the example of Swedish media company, Norstedts, which has made great use of the term in their internal strategy development process.",150,34.78,333.3334391117096,False,0.9399068032074303,21.621362686157227,False,False,15,Refind is featured in Swedish business weekly...,150,34.78,21.62,0.9399,0.0,0.0
DOLPHIN FASHION CORP. is an entity registered at NEW YORK county with company number 2297344. DOLPHIN F,ASHION CORP. is recognized as a charitable organization under the tax code.,17,6.89,18.91119085624814,False,0.9767226489021297,24.16643524169922,False,False,16,DOLPHIN FASHION CORP. is an entity registered...,17,6.89,24.17,0.9767,0.0,0.0
"Congratulations, this is no B.S. free zone!
Visual artists are visual thinkers! So we made anatomy books for artists. They don't"," need science to draw or sculpt. They don't need anatomy. They just need to know how a body works, how bones and muscles work.
The Art Anatomy app helps you do just that, with more than 12,000 photographs from hundreds of human models and figures, complete with labeled bone, muscle, joint, and nerve structures.
When you've finished this app, you'll find that your models can move better. When they can't move, you'll see what's wrong. And when you're ready for the real thing, you'll have the body mechanics, so the training will come easy.
With the right body mechanics, you'll never be afraid to try again.
If your artwork is moving or non-moving",150,34.28,318.62164365081117,False,0.9109320322805665,11.632393836975098,False,False,17,"Congratulations, this is no B.S. free zone!
V...",150,34.28,11.63,0.9109,0.0,0.0
"The stock market is the place where stocks and bonds are traded. Stocks are units of ownership in a company, and so they can sell their stock"," for a profit, or lose money if the company does poorly. Bonds are loans that you can give to a company, and you are promised a certain rate of return (which can be in the form of interest payments) over a certain period of time.

Finally, there are options. An option is a financial contract that gives the owner the right, but not the obligation, to buy or sell an asset (like a stock) at a certain price, within a certain time period. Options can be very useful when you want to make a quick profit, but they can also be very risky if you don't understand them well.

Now, let's talk about how all of this is related to the sentence ""What could it be",150,34.04,125.08679891936481,False,0.9002570017082938,3.1140894889831543,False,False,18,The stock market is the place where stocks an...,150,34.04,3.11,0.9003,0.0,0.0
"You can rely on Sure Betbuilder S to present the very best service when it comes to Builder in Mc Leansville, NC. You'll need"," to get in touch with them if you're looking for the very best builder or remodeler in Mc Leansville, NC, and you'll be able to rely on them for a complete solution. You'll never ever need to depend on a building company that's not well known for their high quality work.
The best solution to find a professional contractor for house remodeling, renovation, or building is to look at the previous jobs they have executed. If they are not able to present you with photos or videos of prior jobs, then they are probably not ready to make that call. You'll have to take into consideration what is essential to you and what type of house remodeling or building you are attempting to do.
When hiring a",150,34.05,256.98044454678893,False,0.8958218082686725,8.43135929107666,False,False,19,You can rely on Sure Betbuilder S to present ...,150,34.05,8.43,0.8958,0.0,0.0
The more times your children go under general anesthesia but it's not. This will be the 3rd time one of my children gets to experience this., He had to have a procedure in May of 2009 and he has a 1/2 hour gap between the first two and the third one.,29,9.31,69.17667680978775,False,0.9659898769835575,22.164173126220703,False,False,20,The more times your children go under general...,29,9.31,22.16,0.966,0.0,0.0
"Alameda is a locals town, which is why we opened a local, non-corporate coffee joint, run by people who love an amazing cup"," of coffee.” – Ben Lamm, The Bigger View, Inc.
5. “When you run a successful business that focuses on a small audience, you have the opportunity to create an emotional connection with your customers. For me, a great cup of coffee is a powerful way to build a relationship with my customers. They know that every cup is unique, each one is created with care and they are treated like family.” – Aaron S. Cohen, The Daily Grind
6. “It is a lot more enjoyable to work at a place where you enjoy what you do. That doesn't mean you have to like every minute of your job. But it does mean you should have a passion for what you're",150,34.05,266.219030671753,False,0.908842217466139,7.096480846405029,False,False,21,"Alameda is a locals town, which is why we ope...",150,34.05,7.1,0.9088,0.0,0.0
"Drinking is sometimes very fascinating especially as you hang out with friends; it is a fun and provides the feeling of well being. However, the odor"," that is given off by the person drinking can be unbearable at times. Therefore, when it comes to drinking at the pub, the odor of the person needs to be dealt with. Luckily, there are quite a few options to do just that. To discover some of the options, you will be required to read through this article.

Use A T-Shirt
You can opt to make use of a T-shirt to prevent bad breath. The T-shirt will help to prevent bad breath from affecting people all around you. What is important to note is that the shirt will need to be soft and loose enough to allow the breath to travel down from your mouth to the shirt.

Use Mouthwash
Before you decide on using",150,34.14,267.0493470970541,False,0.8912858063959489,7.948856353759766,False,False,22,Drinking is sometimes very fascinating especi...,150,34.14,7.95,0.8913,0.0,0.0
"Today we are delighted to introduce you to FarmGirlRosePetals, a three-generation family farm based in Oregon, growing gorgeous flowers and freeze drying"," them to preserve their delicate beauty.
We’re thrilled to bring you on board as our latest partner in the Women Entrepreneurs Project. As part of WEP, we’re connecting women entrepreneurs like FarmGirlRosePetals with tools, resources, and the networks that help businesses flourish.
But we also hope FarmGirlRosePetals’ story gives you a chance to dive deeper into the story of small business ownership — and of business ownership by women.
Read on as we learn more about the remarkable FarmGirlRosePetals and what small business ownership means to them.
Founded in 2015 by Rose Petals, FarmGirlRosePetals brings a sense of beauty to the often-dull world of grocery.",150,33.99,250.82657275535166,False,0.8912858063959489,9.710320472717285,False,False,23,Today we are delighted to introduce you to Fa...,150,33.99,9.71,0.8913,0.0,0.0
Cascara (Cascara sagrada) by Eagle Peak Herbals: This North American shrub is a well known laxative and colon," cleanser. It stimulates contraction of the intestines, which assists in the elimination of waste material. Cascara also helps to improve the motility of the colon so that bowel movements are more frequent and easier to expel.
Dandelion (Taraxacum officinale) Root by Nature’s Answer: Dandelion root is rich in B-complex vitamins, minerals such as zinc and selenium, flavonoids, and polysaccharides. Many of these nutrients help to promote and maintain healthy liver function. This, in turn, encourages the production of bile, which assists in digestion. The flavonoids and polysaccharides in dandelion root stimulate the liver to produce more bile,",150,34.12,176.85159710701555,False,0.9190791018883574,4.416321754455566,False,False,24,Cascara (Cascara sagrada) by Eagle Peak Herba...,150,34.12,4.42,0.9191,0.0,0.0
"Thymoquinone protects DRG neurons from axotomy-induced cell death.
OBJECTIVE: Peripheral nerve injury (PNI",") affects a large percentage of the general population; for example, a high percentage of patients with spinal cord injuries (SCI) will develop PNI. As the leading cause of PNI after SCI, distal-to-proximal transection (DTR) of the thoracic and lumbar spinal nerves and brachial plexus injuries are a growing source of concern for clinical neurologists, rehabilitation specialists, and other healthcare providers. This study evaluated the effects of thymoquinone (TQ), an isolated flavonoid, on injury-induced cell death of DRG neurons. METHODS: DRG neurons from adult male rats (n=15) were subcutaneously injected into the",150,34.07,205.27993666380644,False,0.9416967299245729,7.297515392303467,False,False,25,Thymoquinone protects DRG neurons from axotom...,150,34.07,7.3,0.9417,0.0,0.0
"– Handouts will be uploaded to the website 10 minutes before the webinar.
– Please stay muted (turn off your microphone) during the web","inar so that the presenter can hear the recording.
– This webinar will be recorded and will be posted for future reference. If you are uncomfortable with recording, you can email your login details to dna@dsfcc.com to access a private version of the webinar.
Webinar #4: Working with Children Who Experience Adversity
Webinar #5: Trauma-Informed Education: An Introduction to the Core Concepts
Webinar #6: Trauma and Student Learning: The Effect of Trauma on Development, Emotional Regulation, Behavior, and Academic Performance
Webinar #7: Understanding and Addressing Trauma for Black, Indigenous, and People of Color Students
Webinar",150,33.98,230.84925016015768,False,0.8980517252237721,6.275219917297363,False,False,26,– Handouts will be uploaded to the website 10...,150,33.98,6.28,0.8981,0.0,0.0
"The page provides the exchange rate of 26402000000 Emirati Dirham (AED) to Japanese Yen (JPY), sale and conversion rate"," of local products and services in the Emirati Dirham, the Emirati currency in UAE, the top 20 companies in the United Arab Emirates (UAE), the Emirati economic crisis, the Emirati companies and industries, Emirati economy, and a map of the UAE.
The Emirati Dirham is pegged to the US dollar.
The Emirati Dirham was introduced on 1 January 1972. The peg was changed to a fixed exchange rate of AED 2.80/US$1.00 in February 2003, and then to a flexible band of AED 2.84–2.86/US$1.00 in May 2003. On 12 November 2005, the United Arab Emirates (UAE) Monetary Authority (U",150,34.02,229.96499072387815,False,0.8643082336064223,7.349398136138916,False,False,27,The page provides the exchange rate of 264020...,150,34.02,7.35,0.8643,0.0,0.0
"CELEBRATIONS reminds us to celebrate the seasons of our lives. Remember the summer fresh-garden herbs and vegetables, the familiar tastes of autumn"," pheasant or venison, the rich flavours and warmth of winter ciders and stews, and the fresh and light feeling of spring salads and fruits. Eat seasonally, from the bounty of nature, and your heart will be filled with joy and gratitude.

THE BREAD OF LIFE

_**The simple act of making bread is often as soothing and centring as eating it.**_

'The bread of life' can refer to a metaphorical bread (e.g. the 'bread of friendship'), but in this chapter we're talking about the simple act of making bread—a nourishing activity which can help you to slow down, and find stillness and peace. Bread making is a time-hon",150,34.32,263.5373563170433,False,0.9210649440558948,8.101187705993652,False,False,28,CELEBRATIONS reminds us to celebrate the seas...,150,34.32,8.1,0.9211,0.0,0.0
Consider replacing the flapper and inspect the inside of the tank to see if there is any build-up preventing a proper seal. Also inspect the lift," chain to ensure there are no kinks that could be obstructing the water from flowing to the tank.
- Check the water level. The water level should be in the overflow pipe, just before it opens. If the water level is too high in the overflow pipe, water will overflow the trap when you flush. Lowering the water level will reduce the amount of pressure and will prevent the overflow of the toilet tank.
- If there is no water in the overflow pipe, there is a clog in the trap, and this water needs to be released to open the trap.
Flush a small amount of water into the overflow tube. If water comes out of the toilet bowl, the problem is resolved.
If water continues to",150,34.21,223.34209945611656,False,0.8450238854115095,5.457963943481445,False,False,29,Consider replacing the flapper and inspect th...,150,34.21,5.46,0.845,0.0,0.0
LEWISTON — The Calvary United Medthodist Church will hold its monthly bean supper at 4:45 p.m. Saturday,", Sept. 8, in the congregation hall.
The cost for dinner is $5 per person; children ages 2-12 eat free.
""We're going to have a wonderful night eating good food and singing songs,"" said church music director Jeff Durbin. ""People who can afford to give more, can give more.""
Prayer will begin at 4:40 p.m., followed by dinner.
For information, call 636-9181.
(c) 2010, Johnston County Register and Mail. Provided by ProQuest LLC. All rights Reserved.",120,27.68,203.85110788978636,False,0.9506544011299475,8.887511253356934,False,False,30,LEWISTON — The Calvary United Medthodist Chur...,120,27.68,8.89,0.9507,0.0,0.0
"telecommunications and Entertainment Company in the universe!
As a AT&T Portables Retail Sales Consultant, you’ll get to know communication"," and technology and find the right products to help our customers reach their goals, whether they have a large business that needs a fleet of telephones or an individual that needs their first telephone.
We’re looking for someone who is outgoing, team oriented, detail oriented and will be able to sell our high quality products.
We have the training to show you how to sell telephones, routers, telecommunication devices, modems, and more!
What type of work would I be doing?
AT&T has a training program to help people in the retail industry build their skills. AT&T Portables have a variety of sales and service representatives available to help our customers in the telecommunication industry find the right equipment for their home",150,34.05,274.6172521803528,False,0.9002570017082938,10.55905818939209,False,False,31,telecommunications and Entertainment Company ...,150,34.05,10.56,0.9003,0.0,0.0
"Get the latest information on the building project.
Want to see a specialist without traveling out of town?
Health topics just for women.
Johnson", & Johnson is committed to helping you with your healthcare questions and concerns.,15,6.5,14.114037320017815,False,1.0,14.422639846801758,False,False,32,Get the latest information on the building pr...,15,6.5,14.42,1.0,0.0,0.0
"Who am I? What's this all About?
You could say I grew up traveling, when I was young I lived in Lagos, Nigeria",", which gave me an opportunity to meet and learn from different cultures. When I grew older and started traveling to different countries, I always came back to where I grew up and realized that what I liked about Lagos was the people and that I could not find in other places.
It was during those times of travel that I started to notice the lack of self-expression and the lack of creativity in my communities. I found that people were not able to express their own beliefs, they were not able to express themselves because they do not have a space to do it.
I wanted to provide that to young people. I wanted to create a space for young people to express themselves in their communities. We started in Lagos but we are now",150,34.38,259.9874003510922,False,0.8818922847973121,7.995067119598389,False,False,33,"Who am I? What's this all About?
You could sa...",150,34.38,8.0,0.8819,0.0,0.0
A PROCEDURE assessed by NICE (National Institute for Health and Care Excellence) and used in research led by the University of Birmingham has been hailed," as a new and exciting approach to supporting people living with cancer.
This is the first time that NICE has endorsed the use of a digital service for mental health conditions as part of the cancer pathway.
The service, known as the Virtual Health Programme (VHP), is developed by the Institute of Cancer Research (ICR) and Cancer Research UK's Stand Up To Cancer Catalyst Programme. The programme was established through an £86 million investment from Stand Up To Cancer to tackle the hardest-to-treat cancers.
Patients who are referred by their GP or cancer specialist to a specialist cancer psychological assessment are linked with a nurse-led support service based at the ICR.
The VHP is an online digital toolkit that brings",150,33.89,250.59885969012976,False,0.9190791018883574,6.482306480407715,False,False,34,A PROCEDURE assessed by NICE (National Instit...,150,33.89,6.48,0.9191,0.0,0.0
"Vayam Technologies Ltd. has successfully executed Uttar Pradesh Common Services Centre project under National eGovernance Plan across Uttar Pradesh. In 2010, Govt",". of UP initiated an open-source E-Governance program and deployed the Vayam Open-source eGovernance System (OSS). The state government of Uttar Pradesh, along with the State Bank of India, deployed Vayam Open-source eGovernance System in April 2010 for digital enrollment of individuals in the banking system. Vayam also implemented a project on e-Governance for Uttar Pradesh's Department of Electricity.  Vayam developed the software in association with other organizations including the National eGovernance Division, Govt. of India.

Vayam Technologies Ltd. developed a project on e-Governance for the Uttar Pradesh State Pollution Control Board (UPSPCB). The implementation of this project",150,34.43,252.23906690999866,False,0.8669171007061203,9.517313003540039,False,False,35,Vayam Technologies Ltd. has successfully exec...,150,34.43,9.52,0.8669,0.0,0.0
Free Download Mp3 & Mp4 2 lines sad urdu poetry|2 line shayari|Asim malangi|||2," line rumi madrasi||2 line shayari hindi
https://www.free-love-poems-in-mahari-language.org/wp-content/uploads/2020/12/love-poems-mahri-language.jpg 800 1200 Free Love Poems https://www.free-love-poems-in-mahari-language.org/wp-content/uploads/2018/03/FLPML-Logo.jpg Free Love Poems2020-12-11 12:34:352020-12-13 09:58:07How to Love Someone from a Different Religion? Top 2 Poems by Mahari Poets
Top 10 Free",150,33.88,180.22862504050136,False,0.8518636325047283,6.1491618156433105,False,False,36,Free Download Mp3 & Mp4 2 lines sad urdu poet...,150,33.88,6.15,0.8519,0.0,0.0
"Born 1952; Education: Elmira College, B.A.; attended School of Visual Arts, and New School for Social Research.
Offıce",": Co-founder, director and chief film maker of Cinéma Vérité, Inc., NYC since 1975. Award-winning journalist, documentary filmmaker, author, educator and public speaker. Currently lives in New York City.
Media Resources and links
Video & Audio on the Internet: www.videoartspace.org/tvart/cve/index.html
Books by Cinéma Vérité: http://www.cinemaverick.org
The CineMaverick: http://www.cinemaverick.org/
Videos of interviews with Cinéma Vérité founders: http://www.moviemaker.com/index/",150,34.23,236.43726343940943,False,0.8768942351478599,7.09083366394043,False,False,37,"Born 1952; Education: Elmira College, B.A.; a...",150,34.23,7.09,0.8769,0.0,0.0
Cluster comprises IBM's Opteron-based eServer 325 server and systems management software and storage devices that can run Linux and Windows operating systems.," The hardware can run up to 4,800 blades in a single rack; each blade contains a cluster control node (CCN) that runs IBM i or Linux and is connected to up to 40 cluster processors, which contain eight cores each.
The cluster software, known as Cluster Application Server 3.0 or CAS 3.0, provides all the tools and libraries necessary to deploy an IBM i enterprise cluster, IBM said.
The software features a built-in database designed to work well with the IBM mainframe, and it is capable of handling complex data mining and clustering applications that require parallel processing. It also allows users to manage, secure and monitor the clustered applications.
E-mail encryption is included in the system to make sure",150,34.04,319.868544626981,False,0.9222961707957948,11.185709953308105,False,False,38,Cluster comprises IBM's Opteron-based eServer...,150,34.04,11.19,0.9223,0.0,0.0
Follow the pace of one of the most popular extreme sports in the world. Featuring fast animation and 3D elements provide the flesh and blood of the video,". This is the best way to learn how to master the sport.

<url_end>


Rewrite:

Learn How to Master Extreme Sports with These Top Tips!

Mastering extreme sports can be an exhilarating and challenging experience. It requires not only physical strength and agility, but also careful planning and risk management. In this article, we will provide you with some top tips to help you become the ultimate master of extreme sports!

== Steps ==
# First things first, determine your level of skill and experience in each type of extreme sport. This will help you understand which sport is suitable for you. It is important to always push yourself to improve, but also know your limits and gradually increase the",150,34.5,160.99947691708803,False,0.9150471366520682,3.39325213432312,False,False,39,Follow the pace of one of the most popular ex...,150,34.5,3.39,0.915,0.0,0.0
"After we left Zihuatenajo, needed fuel and water so we took a left turn in to Acapulco Bay. The Yacht Club"," was in the foreground. We were in the Bay for over a month. I made several trips to the top of Pico de Orizaba, a 2,200-meter (7,000-foot) peak. I did the hike on my own and climbed more than 3,000 meters (9,842 feet) in two days. There were no roads up to this point.

From the south coast up through the mountains of Morelos, we had three more days of sailing and several more days of snorkeling. By this time, most of the locals in Baja had heard about my trips and they greeted me with a smile. I learned that they had a ""dry spell,"" and that this is a",150,34.12,301.522582270205,False,0.908842217466139,10.087629318237305,False,False,40,"After we left Zihuatenajo, needed fuel and wa...",150,34.12,10.09,0.9088,0.0,0.0
"Kalanchoe is an eye-catching succulent, displaying large heads of bright orange flowers during the winter. Ideal for basket or pot, the Kal","anchoe will flower again during the summer.
This plant is perfect for any beginner’s collection of plants because it is very easy to grow. It needs little maintenance and can survive almost anywhere. Kalanchoe is very easy to propagate – cut a leaf stem and plant it in the ground or in water.
4. Aloe Vera
Aloe Vera, which is also known as Aloe Barbadensis Miller, is a succulent and is one of the most popular houseplants in the world. It is easy to grow and does not require much maintenance.
Aloe Vera is native to Africa, but it is now grown worldwide.
It is a hardy plant and can survive in a wide range of conditions.",150,34.43,183.90628226846457,False,0.8912858063959489,4.335289001464844,False,False,41,"Kalanchoe is an eye-catching succulent, displ...",150,34.43,4.34,0.8913,0.0,0.0
"I was searching for Tahoe City Properties and have a question. Thank you.
I'd like to request a showing for 1380 SEQUO","IA DR SE, the listing #08551239.",13,6.08,42.00672662258148,False,1.0,771.3074340820312,False,False,42,I was searching for Tahoe City Properties and...,13,6.08,771.31,1.0,0.0,0.0
